IPK, Pengetahuan di bidang atau disiplin ilmu anda                                         (rendah)1-5(tinggi),Pengetahuan di luar bidang atau disiplin ilmu anda        (rendah)1-5(tinggi),Pengetahuan umum                  (rendah)1-5(tinggi),Ketrampilan internet                          (rendah)1-5(tinggi),Ketrampilan komputer                          (rendah)1-5(tinggi),Ketrampilan                    Sistem Keamanan Komputer (rendah)1-5(tinggi),Ketrampilan                    Jaringan Komputer (rendah)1-5(tinggi),Ketrampilan Program Aplikasi WEB                    (rendah)1-5(tinggi),Ketrampilan Program Aplikasi Multimedia                     (rendah)1-5(tinggi),Ketrampilan Program Aplikasi Android                          (rendah)1-5(tinggi),Ketrampilan Program Aplikasi Database                          (rendah)1-5(tinggi),Berpikir kritis                          (rendah)1-5(tinggi),Bahasa Inggris                       (rendah)1-5(tinggi) ,Ketrampilan riset                            (rendah)1-5(tinggi),Kemampuan berkomunikasi                (rendah)1-5(tinggi),Kemampuan Bekerja di bawah tekanan                              (rendah)1-5(tinggi),Manajemen waktu                    (rendah)1-5(tinggi) ,Bekerja secara mandiri                       (rendah)1-5(tinggi)    ,Bekerja dalam tim/bekerjasama dengan orang lain                   (rendah)1-5(tinggi),Kemampuan dalam memecahkan masalah                           (rendah)1-5(tinggi)   ,Kemampuan analisis          (rendah)1-5(tinggi) ,Toleransi                             (rendah)1-5(tinggi),Kemampuan adaptasi                         (rendah)1-5(tinggi),Loyalitas                             (rendah)1-5(tinggi),Integritas f                          (rendah)1-5(tinggi),Kepemimpinan                             (rendah)1-5(tinggi),Kemampuan dalam memegang tanggungjawab                        (rendah)1-5(tinggi),Inisiatif                          (rendah)1-5(tinggi),Kemampuan untuk memresentasikan ide/produk/laporan              (rendah)1-5(tinggi) ,"Kemampuan dalam menulis laporan, memo dan dokumen                    (rendah)1-5(tinggi)",Posisi Pekerjaan
3.08,5,5,4,5,5,3,5,3,3,3,4,5,4,3,5,5,4,5,5,4,3,5,5,5,4,4,5,5,4,3,Teknik Mesin
3.07,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.03,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,Programmer
3.2,5,5,5,5,5,4,3,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,5,5,5,4,5,5,3,3,Software engineer
3.1,5,5,5,5,5,3,4,4,5,5,3,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,5,IT Quality Control
3.51,5,5,5,5,5,3,3,3,3,3,3,5,5,3,5,5,5,5,5,4,3,5,5,5,5,3,5,5,5,5,Sales 
2.95,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.01,4,4,5,5,5,4,5,3,3,3,3,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,Staff IT Network
3.16,4,5,3,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,Programmer
3.18,5,5,5,5,5,4,3,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,5,5,5,4,5,5,3,3,Software engineer
3.29,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,4,5,5,5,3,3,5,5,5,5,5,5,4,3,2,Technical engineer
3.3,4,5,5,5,5,3,3,5,5,3,4,5,5,5,5,3,5,5,5,5,4,5,5,5,5,3,5,5,4,3,Web Programmer
2.99,5,5,5,5,5,3,3,3,3,4,5,4,5,4,5,5,5,5,4,5,3,5,5,5,5,3,5,5,5,5,Customer Service
3.03,4,4,4,5,5,4,4,5,4,5,5,4,4,4,5,5,5,5,5,4,3,5,5,3,5,3,5,5,3,3,IT Support
3.27,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,4,5,5,5,3,3,5,5,5,5,5,5,4,3,2,Technical engineer
3.32,5,5,5,5,5,4,3,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,5,5,5,4,5,5,3,3,Software engineer
2.92,4,4,4,5,5,4,4,5,4,5,5,4,4,4,5,5,5,5,5,4,3,5,5,3,5,3,5,5,3,3,IT Support
3.1,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
3.09,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
2.95,3,3,3,5,5,3,3,4,4,5,3,3,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Call Centre
3.42,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.09,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.11,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
2.78,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.63,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,Sekretaris
3.83,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
3.07,4,4,4,5,5,4,4,5,4,5,5,4,4,4,5,5,5,5,5,4,3,5,5,3,5,3,5,5,3,3,IT Support
3.03,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.01,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.82,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.01,4,4,5,5,5,4,5,3,3,3,3,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,Staff IT Network
3.0,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.33,5,5,5,5,5,3,4,4,5,5,3,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,5,IT Quality Control
2.95,5,5,5,5,5,5,3,3,3,2,3,5,5,5,4,1,5,4,5,5,5,4,5,5,5,5,5,5,5,4,Sistem analis
3.05,5,5,5,5,5,3,3,4,3,3,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Digital Marketing
2.95,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.02,4,5,3,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,Programmer
3.16,5,5,5,5,5,3,4,4,5,5,3,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,5,IT Quality Control
3.02,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,3,3,Networking engineer
3.12,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,Sekretaris
3.01,4,4,4,5,5,4,4,5,4,5,5,4,4,4,5,5,5,5,5,4,3,5,5,3,5,3,5,5,3,3,IT Support
3.26,5,5,5,5,5,4,3,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,5,5,5,4,5,5,3,3,Software engineer
3.05,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.14,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.99,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.18,5,5,5,5,5,3,3,3,3,3,3,5,5,3,5,5,5,5,5,4,3,5,5,5,5,3,5,5,5,5,Sales 
3.01,5,5,5,5,5,3,3,3,3,3,3,3,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,3,3,4,Operator Komputer
3.03,5,5,4,5,5,3,5,3,3,3,4,5,4,3,5,5,4,5,5,4,3,5,5,5,4,4,5,5,4,3,Teknik Mesin
3.09,5,5,4,5,5,3,5,3,3,3,4,5,4,3,5,5,4,5,5,4,3,5,5,5,4,4,5,5,4,3,Teknik Mesin
3.25,5,5,5,5,5,5,3,3,3,2,3,5,5,5,4,1,5,4,5,5,5,4,5,5,5,5,5,5,5,4,Sistem analis
3.0,5,5,5,5,4,4,3,5,5,4,4,4,4,4,5,4,5,5,4,5,2,5,5,5,5,3,5,5,4,3,Web Designer
3.14,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.01,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.7,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.75,3,3,3,5,5,3,3,4,4,5,3,3,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Call Centre
3.69,4,4,4,5,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,3,5,5,5,5,3,5,5,4,5,Agent Monitoring ATM
2.98,5,5,5,5,5,3,3,4,3,3,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Digital Marketing
3.69,4,5,3,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,Programmer
3.02,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
3.06,4,4,5,5,5,2,3,3,3,3,4,4,3,4,4,5,5,5,5,4,3,5,3,5,5,5,5,5,3,5,Staff Administrasi
3.14,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.54,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,4,5,5,5,3,3,5,5,5,5,5,5,4,3,2,Technical engineer
3.08,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.07,4,5,3,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,Programmer
3.48,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.2,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.24,5,5,5,5,5,4,3,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,5,5,5,4,5,5,3,3,Software engineer
2.95,5,5,5,5,5,4,3,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,5,5,5,4,5,5,3,3,Software engineer
3.1,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.44,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.3,5,5,5,5,5,3,3,3,3,3,3,3,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,3,3,4,Operator Komputer
3.07,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
2.99,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
3.11,5,5,5,5,4,4,3,5,5,4,4,4,4,4,5,4,5,5,4,5,2,5,5,5,5,3,5,5,4,3,Web Designer
2.99,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.03,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,Sekretaris
3.02,4,5,3,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,Programmer
3.29,4,5,3,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,Programmer
3.37,5,5,5,5,5,3,3,3,3,3,3,5,5,3,5,5,5,5,5,4,3,5,5,5,5,3,5,5,5,5,Sales 
2.87,5,5,4,5,5,3,5,3,3,3,4,5,4,3,5,5,4,5,5,4,3,5,5,5,4,4,5,5,4,3,Teknik Mesin
2.93,5,5,4,5,5,3,5,3,3,3,4,5,4,3,5,5,4,5,5,4,3,5,5,5,4,4,5,5,4,3,Teknik Mesin
2.77,5,5,5,5,5,2,2,3,3,2,3,4,5,4,5,5,5,5,4,4,4,5,5,5,5,3,5,5,5,5,Recepsionist
3.17,3,3,3,5,5,3,3,4,4,5,3,3,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Call Centre
2.78,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,Programmer
3.01,4,4,5,5,5,4,5,3,3,3,3,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,Staff IT Network
3.07,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,MIS Director
3.03,5,5,5,5,5,3,4,4,5,5,3,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,5,IT Quality Control
3.05,5,5,5,5,5,4,3,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,5,5,5,4,5,5,3,3,Software engineer
3.12,4,5,3,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,Programmer
3.52,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
2.85,4,5,5,5,5,3,3,5,5,3,4,5,5,5,5,3,5,5,5,5,4,5,5,5,5,3,5,5,4,3,Web Programmer
2.9,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.1,4,4,4,5,5,4,4,5,4,5,5,4,4,4,5,5,5,5,5,4,3,5,5,3,5,3,5,5,3,3,IT Support
2.95,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.64,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
2.89,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,3,3,Networking engineer
3.07,5,5,5,5,5,3,3,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,4,Design Grafis
3.03,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.22,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.03,5,5,4,5,5,3,5,3,3,3,4,5,4,3,5,5,4,5,5,4,3,5,5,5,4,4,5,5,4,3,Teknik Mesin
3.38,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.14,4,4,5,5,5,2,3,3,3,3,4,4,3,4,4,5,5,5,5,4,3,5,3,5,5,5,5,5,3,5,Staff Administrasi
3.09,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.53,4,5,3,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,Programmer
3.13,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,3,3,Networking engineer
2.87,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.11,5,5,5,5,5,3,4,4,5,5,3,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,5,IT Quality Control
3.04,5,5,5,5,5,3,3,4,3,3,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Digital Marketing
3.05,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,4,5,5,5,3,3,5,5,5,5,5,5,4,3,2,Technical engineer
2.75,5,5,5,5,5,3,4,4,5,5,3,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,5,IT Quality Control
2.58,5,5,5,5,5,2,2,3,3,2,3,4,5,4,5,5,5,5,4,4,4,5,5,5,5,3,5,5,5,5,Recepsionist
2.82,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.85,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.95,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.83,5,5,4,5,5,3,5,3,3,3,4,5,4,3,5,5,4,5,5,4,3,5,5,5,4,4,5,5,4,3,Teknik Mesin
3.29,5,5,5,5,5,3,4,4,5,5,3,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,5,IT Quality Control
3.7,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.05,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,4,5,5,5,3,3,5,5,5,5,5,5,4,3,2,Technical engineer
3.08,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,Programmer
2.72,4,5,5,5,5,3,3,5,5,3,4,5,5,5,5,3,5,5,5,5,4,5,5,5,5,3,5,5,4,3,Web Programmer
2.91,5,5,5,5,5,3,3,3,3,3,3,3,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,3,3,4,Operator Komputer
3.03,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,Programmer
2.88,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.89,5,5,4,5,5,3,5,3,3,3,4,5,4,3,5,5,4,5,5,4,3,5,5,5,4,4,5,5,4,3,Teknik Mesin
3.23,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,MIS Director
2.78,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
3.52,4,5,5,5,5,3,3,5,5,3,4,5,5,5,5,3,5,5,5,5,4,5,5,5,5,3,5,5,4,3,Web Programmer
3.63,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,Programmer
2.96,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.13,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,Sekretaris
3.88,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,Guru TIK
3.49,4,4,5,5,5,4,5,3,3,3,3,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,Staff IT Network
2.52,5,5,5,5,5,3,3,3,3,3,5,4,5,3,5,5,5,5,3,4,3,5,5,5,5,4,5,5,3,5,Staff IT
3.11,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,Programmer
3.24,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.91,5,5,5,5,5,3,3,4,3,3,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Digital Marketing
3.15,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.33,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.04,5,5,5,5,5,2,2,3,3,2,3,4,5,4,5,5,5,5,4,4,4,5,5,5,5,3,5,5,5,5,Recepsionist
3.35,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,Programmer
2.71,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.85,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.98,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,Sekretaris
3.25,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,MIS Director
2.86,4,4,4,5,5,4,4,5,4,5,5,4,4,4,5,5,5,5,5,4,3,5,5,3,5,3,5,5,3,3,IT Support
2.79,5,5,5,5,4,4,3,5,5,4,4,4,4,4,5,4,5,5,4,5,2,5,5,5,5,3,5,5,4,3,Web Designer
2.78,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.08,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,MIS Director
3.21,5,5,5,5,5,3,3,4,3,3,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Digital Marketing
3.26,5,5,5,5,5,3,3,3,3,3,3,3,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,3,3,4,Operator Komputer
2.79,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,3,3,Networking engineer
2.65,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
