IPK; Pengetahuan di bidang atau disiplin ilmu anda                                         (rendah)1-5(tinggi);Pengetahuan di luar bidang atau disiplin ilmu anda        (rendah)1-5(tinggi);Pengetahuan umum                  (rendah)1-5(tinggi);Ketrampilan internet                          (rendah)1-5(tinggi);Ketrampilan komputer                          (rendah)1-5(tinggi);Ketrampilan                    Sistem Keamanan Komputer (rendah)1-5(tinggi);Ketrampilan                    Jaringan Komputer (rendah)1-5(tinggi);Ketrampilan Program Aplikasi WEB                    (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Multimedia                     (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Android                          (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Database                          (rendah)1-5(tinggi);Berpikir kritis                          (rendah)1-5(tinggi);Bahasa Inggris                       (rendah)1-5(tinggi) ;Ketrampilan riset                            (rendah)1-5(tinggi);Kemampuan berkomunikasi                (rendah)1-5(tinggi);Kemampuan Bekerja di bawah tekanan                              (rendah)1-5(tinggi);Manajemen waktu                    (rendah)1-5(tinggi) ;Bekerja secara mandiri                       (rendah)1-5(tinggi)    ;Bekerja dalam tim/bekerjasama dengan orang lain                   (rendah)1-5(tinggi);Kemampuan dalam memecahkan masalah                           (rendah)1-5(tinggi)   ;Kemampuan analisis          (rendah)1-5(tinggi) ;Toleransi                             (rendah)1-5(tinggi);Kemampuan adaptasi                         (rendah)1-5(tinggi);Loyalitas                             (rendah)1-5(tinggi);Integritas f                          (rendah)1-5(tinggi);Kepemimpinan                             (rendah)1-5(tinggi);Kemampuan dalam memegang tanggungjawab                        (rendah)1-5(tinggi);Inisiatif                          (rendah)1-5(tinggi);Kemampuan untuk memresentasikan ide/produk/laporan              (rendah)1-5(tinggi) ;Kemampuan dalam menulis laporan, memo dan dokumen                    (rendah)1-5(tinggi);Posisi Pekerjaan;;;;;;
301;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
308;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
307;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
303;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
320;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
310;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
351;5;5;5;5;5;3;3;3;3;3;3;5;5;3;5;5;5;5;5;4;3;5;5;5;5;3;5;5;5;5;Sales ;;;;;;
295;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
301;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
316;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
318;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
329;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;4;5;5;5;3;3;5;5;5;5;5;5;4;3;2;Technical engineer;;;;;;
330;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
299;5;5;5;5;5;3;3;3;3;4;5;4;5;4;5;5;5;5;4;5;3;5;5;5;5;3;5;5;5;5;Customer Service;;;;;;
303;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
327;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;4;5;5;5;3;3;5;5;5;5;5;5;4;3;2;Technical engineer;;;;;;
332;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
292;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
310;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
309;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
295;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
342;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
309;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
311;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
278;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
363;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
383;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
307;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
303;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
301;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
382;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
301;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
300;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
333;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
295;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
305;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
295;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
302;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
316;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
302;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;5;5;5;3;3;Networking engineer;;;;;;
312;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
301;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
326;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
305;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
314;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
299;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
318;5;5;5;5;5;3;3;3;3;3;3;5;5;3;5;5;5;5;5;4;3;5;5;5;5;3;5;5;5;5;Sales ;;;;;;
301;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
303;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
309;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
325;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
300;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
314;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
301;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
370;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
275;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
369;4;4;4;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;3;5;5;4;5;Agent Monitoring ATM;;;;;;
298;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
369;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
302;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
306;4;4;5;5;5;2;3;3;3;3;4;4;3;4;4;5;5;5;5;4;3;5;3;5;5;5;5;5;3;5;Staff Administrasi;;;;;;
314;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
354;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;4;5;5;5;3;3;5;5;5;5;5;5;4;3;2;Technical engineer;;;;;;
308;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
307;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
348;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
320;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
324;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
295;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
310;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
344;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
330;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
307;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
299;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
311;5;5;5;5;4;4;3;5;5;4;4;4;4;4;5;4;5;5;4;5;2;5;5;5;5;3;5;5;4;3;Web Designer;;;;;;
299;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
303;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
302;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
329;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
337;5;5;5;5;5;3;3;3;3;3;3;5;5;3;5;5;5;5;5;4;3;5;5;5;5;3;5;5;5;5;Sales ;;;;;;
287;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
293;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
277;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
317;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
278;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
301;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
307;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;MIS Director;;;;;;
303;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
305;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
312;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
352;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
285;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
290;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
310;4;4;4;5;5;4;4;5;4;5;5;4;4;4;5;5;5;5;5;4;3;5;5;3;5;3;5;5;3;3;IT Support;;;;;;
295;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
364;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
289;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;5;5;5;3;3;Networking engineer;;;;;;
307;5;5;5;5;5;3;3;5;5;5;3;5;5;3;5;5;5;5;5;5;3;5;5;5;5;5;5;5;4;4;Design Grafis;;;;;;
303;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
322;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
303;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
338;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
314;4;4;5;5;5;2;3;3;3;3;4;4;3;4;4;5;5;5;5;4;3;5;3;5;5;5;5;5;3;5;Staff Administrasi;;;;;;
309;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
353;4;5;3;5;5;3;3;5;5;5;5;4;5;5;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;Programmer;;;;;;
313;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;5;5;5;3;3;Networking engineer;;;;;;
287;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
311;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
304;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
305;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;4;5;5;5;3;3;5;5;5;5;5;5;4;3;2;Technical engineer;;;;;;
275;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
258;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
282;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
285;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
295;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
283;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
329;5;5;5;5;5;3;4;4;5;5;3;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;4;5;IT Quality Control;;;;;;
370;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
305;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;4;5;5;5;3;3;5;5;5;5;5;5;4;3;2;Technical engineer;;;;;;
308;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
272;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
291;5;5;5;5;5;3;3;3;3;3;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;3;3;4;Operator Komputer;;;;;;
303;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
288;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
289;5;5;4;5;5;3;5;3;3;3;4;5;4;3;5;5;4;5;5;4;3;5;5;5;4;4;5;5;4;3;Teknik Mesin;;;;;;
323;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;MIS Director;;;;;;
278;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
352;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
363;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
296;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
313;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
388;5;5;5;5;5;4;5;5;4;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;Guru TIK;;;;;;
349;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
252;5;5;5;5;5;3;3;3;3;3;5;4;5;3;5;5;5;5;3;4;3;5;5;5;5;4;5;5;3;5;Staff IT;;;;;;
311;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
324;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
291;5;5;5;5;5;3;3;4;3;3;4;5;5;4;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Digital Marketing;;;;;;
315;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
333;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
304;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
335;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
271;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
385;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
298;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;Sekretaris;;;;;;
